품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
111183,홈플러스마트,일반 고구마(저장),대,국내산,봉지,대 봉지 2kg,6,2.0,대2 사용,71.0,852,8809653410288,부침용고구마_2KG(봉),,,,,,,426.0,5.0,85.2
111096,롯데마트,일반 고구마(저장),대,국내산,벌크,대 벌크 8kg,1,8.0,300 ~ 500g,182.0,1456,2874070000004,부침용고구마(벌크),,,,,,,182.0,3.0,60.66666666666666
296956,트레이더스,자몽,45과,이스라엘,소박스,45 소박스 11,1,3.9,재고 252,192.0,751,2500000337727,이스라엘 자몽 7-11입/박스,,,,,,,192.0,,
296956,트레이더스,자몽,45과,이스라엘,소박스,45 소박스 11,1,3.9,"예비 작업
기존 재고 포함해서 진행",600.0,2340,2500000337727,이스라엘 자몽 7-11입/박스,,,,,,,600.0,6.0,100.0
105125,롯데마트,호박 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,특2 + 상,46.0,322,400158420000,호박고구마(700g/봉),,,,,,,460.0,11.0,41.81818181818182
105039,롯데슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,,2.0,14,2759610000006,호박고구마700G/봉,,,,,,,20.0,11.0,1.818181818181818
108045,이마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,31.0,372,2500000274831,호박고구마(1kg/봉),,,,,,,372.0,11.0,33.81818181818182
105144,홈플러스마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,22.0,176,8809172890059,호박고구마_1KG봉,,,,,,,176.0,11.0,16.0
108044,이마트,호박 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,작은 잔상만,10.0,120,2500000291333,한입 호박 고구마(1kg/봉),,,,,,,120.0,11.0,10.909090909090908
111237,이마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,21.0,252,2500000291326,한입 밤고구마(1kg/봉),,,,,,,252.0,11.0,22.90909090909091
111207,롯데슈퍼,일반 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,,46.0,322,2759600000009,밤고구마/700g/봉,,,,,,,460.0,11.0,41.81818181818182
111238,이마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,103.0,1236,2500000274824,밤고구마(1kg/봉),,,,,,,1236.0,13.0,95.07692307692308
111185,홈플러스마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,6.0,48,8809172890042,밤꿀고구마_1KG(봉),,,,,,,48.0,11.0,4.363636363636363
111105,롯데마트,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,325.0,488,400331700004,햇밤고구마(1.5KG/박스),,,,,,,325.0,13.0,25.0
111093,롯데슈퍼,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,105.0,158,2270140000002,고구마/BOX,,,,,,,105.0,11.0,9.545454545454543
111083,이마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,170.0,340,2500000076213,밤고구마(2kg/박스),,,,,,,170.0,11.0,15.454545454545457
111106,홈플러스마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,713.0,1426,8809048243248,해남밤고구마_2KG(박스),,,,,,,713.0,13.0,54.84615384615385
293250,롯데슈퍼,멜로골드,32과,미국,KCP,32 SB 10,1,5.0,초이스,18.0,90,2230840000009,미국산메로골드32과/개,,,,,,,18.0,7.0,2.571428571428572
293267,에브리데이,멜로골드,32과,미국,KCP,32 SB 6,1,3.0,초이스,10.0,30,2500000117138,메로골드자몽,,,,,,,10.0,7.0,1.4285714285714286
293088,트레이더스,멜로골드,32과,미국,소박스,32 소박스 9,1,4.5,"초이스, 예비 582",196.0,882,2500000110597,미국산 메로골드자몽 7~9입/박스,,,,,,,196.0,,
293244,이마트,멜로골드,40과,미국,봉지,40 봉지 4,6,1.8,초이스,30.0,320,2500000050503,미국산 멜로골드자몽 4~5입/봉,,,,,,,180.0,7.0,25.714285714285715
293244,홈플러스마트,멜로골드,40과,미국,봉지,40 봉지 4,6,1.8,초이스,24.0,256,8809529025370,메로골드(미국)_4-5입(봉),,,,,,,144.0,7.0,20.571428571428573
293154,홈플러스마트,멜로골드,27과,미국,벌크,27과 벌크,1,16.0,초이스,23.0,368,8809048475335,메로골드(미국)_개특대,,,,,,,23.0,1.5,15.333333333333334
293156,홈플러스슈퍼,멜로골드,36과,미국,벌크,36과 벌크,1,16.0,초이스,3.0,48,7121,메로골드(특)_(미국)개,,,,,,,3.0,1.5,2.0
293155,이마트,멜로골드,32과,미국,벌크,32과 벌크,1,16.0,초이스,52.0,832,2426320000000,멜로골드자몽 (특),,,,,,,,,
261534,홈플러스마트,제주골드,59과,제주골드,캡,59 캡 9,8,0.9,,59.0,415,8809048474482,제스프리_골드키위(제주)_7-10입(팩),,,,,,,472.0,15.0,31.466666666666665
261540,홈플러스슈퍼,제주골드,59과,제주골드,팩,59 캡 8,6,0.8,,38.0,178,8801483023577,제주골드키위_7-9입_(팩),,,,,,,228.0,15.0,15.2
261531,롯데슈퍼,제주골드,59과,제주골드,캡,59 캡 9,6,0.9,,29.0,153,8801483003760,제스프리제주골드키위7~10입/팩,,,,,,,174.0,15.0,11.6
261532,에브리데이,제주골드,59과,제주골드,캡,59 캡 9,6,0.9,,17.0,90,2500000206320,제주 골드키위(팩),,,,,,,102.0,15.0,6.8
261533,엠패스트,제주골드,59과,제주골드,캡,59 캡 9,10,0.9,,3.0,26,8801483003760,제스프리 제주골드키위 팩,,,,,,,30.0,15.0,2.0
