작업반,작업반.1,1-1반,오퍼레이터,Unnamed: 4,Unnamed: 5,Unnamed: 6,윤영신 부반장님,Unnamed: 8,Unnamed: 9,Unnamed: 10,2023-09-26 00:00:00,Unnamed: 12,오퍼레이터 서명,Unnamed: 14,"정
규",체크리스트,Unnamed: 17,Unnamed: 18,Unnamed: 19
품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,"재고/예비
생산수량",수량,중량,바코드,상품명,작업인원,작업시간(분),과수/입수,원산지,바코드,진열기한
,"이마트 야채, 청과 : 9/22 ~ 10/2 센터 출고까지 진열기한 없음.",,,,,,,,,,,,,,,,,,
,롯데마트 : 9/24 ~ 9/30 센터 출고까지 진열기한 없음.,,,,,,,,,,,,,,,,,,
,2반 2호기 사용 전까지 평벨트에서 작업 진행,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1) 홈플러스 파지에 집중해서 살펴봐주세요,,,,,,,,,,,,,,,,,,
,2) 홈플러스 외 다른 유통사는 열어보고 파지 없으면 그냥 통과. ,,,,,,,,,,,,,,,,,,
,파지가 있다면 뺀 만큼 채워 넣고 통과. 약간의 소프트 혼입,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2호방 26과 1pt 사용 후 1호방 MX 54과(25) 사용(41과 15입),,,,,,,,,,,,,,,,,,
,마켓컬리 NZ 골드 작업        MX박스 54과(25) 사용해주세요        실중량 1.1KG 넘는지 확인,,,,,,,,,,,,,,,,,,
,"↓ 홈마, 홈슈 필름지 다르니 작업 전 주의 필요!",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"↓CU - KKP 1PT에 96박스 적재. 진열기한 표기 ""생산일자 : 23년 6월 4주차""",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,마켓컬리 NZ 골드 작업  실중량 1.1KG 넘는지 확인,,,,,,,,,,,,,,,,,,
,쿠팡 NZ골드 작업 (소박스 바코드 끝 번호 045 상품은 41과 고정)   쿠팡 골드 소박스 작업 진행,,,,,,,,,,,,,,,,,,
,↓ 집에 갈때까지 예비,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,쿠팡 참다래 작업,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,오렌지 작업시 레귤러 우선 사용(레귤러 없을 시 유로 원물 사용),,,,,,,,,,,,,,,,,,
