작업반,작업반.1,1반,오퍼레이터,Unnamed: 4,Unnamed: 5,Unnamed: 6,이미경 반장님,Unnamed: 8,Unnamed: 9,Unnamed: 10,2023-09-26 00:00:00,Unnamed: 12,오퍼레이터 서명,Unnamed: 14,"정
규",체크리스트,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,"재고/예비
생산수량",수량,중량,바코드,상품명,작업인원,작업시간(분),품종,원산지,바코드,진열기한,,,
,"이마트 야채, 청과 : 9/22 ~ 10/2 센터 출고까지 진열기한 없음.",,,,,,,,,,,,,,,,,,,,,
,롯데마트 : 9/24 ~ 9/30 센터 출고까지 진열기한 없음.,,,,,,,,,,,,,,,,,,,,,
,하계 단가가 높은 만큼 넣을 수 있는 원물은 최대한 혼입,,,,,,,,,,,,,,,,,,,,,
112056,롯데마트,일반 고구마(하계),중,국내산,봉지,중 봉지 700g,10,0.7,,5,35,400312650007,한입밤고구마(700g/봉),,,,,,,50.0,12.0,4.166666666666667
112148,이마트,일반 고구마(하계),중,국내산,봉지,중 봉지 1kg,12,1,,25,300,2500000291326,(햇)한입 밤고구마(1kg/봉),,,,,,,300.0,12.0,25.0
112145,홈플러스마트,일반 고구마(하계),중,국내산,봉지,중 봉지 1kg,8,1,,34,272,8807839013162,한입고구마_1KG(봉),,,,,,,272.0,12.0,22.666666666666668
112153,롯데마트,일반 고구마(하계),상,국내산,봉지,상 봉지 1kg,8,1,,61,488,8801483775322,햇밤고구마(1kg/봉),,,,,,,488.0,12.0,40.666666666666664
112155,롯데슈퍼,일반 고구마(하계),상,국내산,봉지,상 봉지 1kg,8,1,,14,112,8801483775322,고구마1KG,,,,,,,112.0,12.0,9.333333333333334
112149,이마트,일반 고구마(하계),상,국내산,봉지,상 봉지 1kg,12,1,,115,1380,2500000274824,밤고구마(1kg/봉),,,,,,,1380.0,12.0,115.0
112066,롯데슈퍼,일반 고구마(하계),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,20,30,8801483775346,고구마/BOX,,,,,,,20.0,12.0,1.6666666666666667
112158,홈플러스마트,일반 고구마(하계),특,국내산,소박스,특 소박스 2kg,1,2,,472,944,8809048243248,해남땅끝고구마_2KG(박스),,,,,,,472.0,12.0,39.333333333333336
112088,롯데마트,일반 고구마(하계),대,국내산,벌크,대 벌크 8kg,1,8,,114,912,2874070000004,부침용고구마(벌크),,,,,,,114.0,6.0,19.0
112160,롯데슈퍼,일반 고구마(하계),대,국내산,봉지,대 봉지 1.5kg,5,1.5,,15,113,2760320000002,밤고구마1.5KG/봉,,,,,,,75.0,12.0,6.25
,쿠팡 고구마 작업,,,,,,,,,,,,,,,,,,,,,212.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,AK,,,,,,,,,,,,,,,,,,,,,
,"↑하루까, 봉지 알찬+벌크 알찬 잘 섞어서 작업 진행입니다",,,,,,,,,,,,,,,,,,,,,
,쿠팡 고구마 작업,,,,,,,,,,,,,,,,,,,,,
