작업반,작업반.1,3-1반,오퍼레이터,Unnamed: 4,Unnamed: 5,Unnamed: 6,김정숙 부반장님,Unnamed: 8,Unnamed: 9,Unnamed: 10,2023-09-26 00:00:00,Unnamed: 12,오퍼레이터 서명,Unnamed: 14,"정
규",체크리스트,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,"재고/예비
생산수량",수량,중량,바코드,상품명,작업인원,작업시간(분),과수/입수,원산지,바코드,진열기한,,,
,"이마트 야채, 청과 : 9/22 ~ 10/2 센터 출고까지 진열기한 없음.",,,,,,,,,,,,,,,,,,,,,
,롯데마트 : 9/24 ~ 9/30 센터 출고까지 진열기한 없음.,,,,,,,,,,,,,,,,,,,,,
248328,에브리데이,N.Z 키위 골드,31과,골드,벌크,31과 벌크,1,5.8,,1,6,2500000106217,골드키위(슈퍼점보) 6개 구매 시,,,,,,,1.0,6.0,0.16666666666666666
248111,롯데슈퍼,N.Z 키위 골드,44과,골드,벌크,44과 벌크,1,5.8,,63,365,2673320000005,제스프리골드키위44과/개,,,,,,,63.0,6.0,10.5
247201,엠패스트,N.Z 키위 골드,48과,골드,벌크,48과 벌크,1,5.8,,63,365,5014212,제스프리 썬골드키위벌크(48과),,,,,,,63.0,6.0,10.5
,↓ 1. 1호방 MX 54과(25) 사용. 5.8KG으로 환산시 41과 입니다,,,,,,,,,,,,,,,,,,,,,
,↓ 2. 9호방 5.8KG 41과 사용,,,,,,,,,,,,,,,,,,,,,
,↓ 3. 2호방 5.8KG 41과 사용,,,,,,,,,,,,,,,,,,,,,
248232,트레이더스,N.Z 키위 골드,41과,골드,캡,41 캡 15,4,2.2,예비 450(37과 14입),906,7937,2500000282645,뉴질랜드 제스프리 썬골드키위 2.1kg,,,,,,,3624.0,20.0,181.2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1) 홈플러스 파지에 집중해서 살펴봐주세요,,,,,,,,,,,,,,,,,,,,,
,2) 홈플러스 외 다른 유통사는 열어보고 파지 없으면 그냥 통과. ,,,,,,,,,,,,,,,,,,,,,
,파지가 있다면 뺀 만큼 채워 넣고 통과. 약간의 소프트 혼입,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2호방 26과 1pt 사용 후 1호방 MX 54과(25) 사용(41과 15입),,,,,,,,,,,,,,,,,,,,,
,마켓컬리 NZ 골드 작업        MX박스 54과(25) 사용해주세요        실중량 1.1KG 넘는지 확인,,,,,,,,,,,,,,,,,,,,,
,"↓ 홈마, 홈슈 필름지 다르니 작업 전 주의 필요!",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"↓CU - KKP 1PT에 96박스 적재. 진열기한 표기 ""생산일자 : 23년 6월 4주차""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,마켓컬리 NZ 골드 작업  실중량 1.1KG 넘는지 확인,,,,,,,,,,,,,,,,,,,,,
,쿠팡 NZ골드 작업 (소박스 바코드 끝 번호 045 상품은 41과 고정)   쿠팡 골드 소박스 작업 진행,,,,,,,,,,,,,,,,,,,,,
,↓ 집에 갈때까지 예비,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,쿠팡 참다래 작업,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,오렌지 작업시 레귤러 우선 사용(레귤러 없을 시 유로 원물 사용),,,,,,,,,,,,,,,,,,,,,
