작업반,작업반.1,4-1반,오퍼레이터,Unnamed: 4,Unnamed: 5,Unnamed: 6,안미선 부반장님,Unnamed: 8,Unnamed: 9,Unnamed: 10,2023-09-26 00:00:00,Unnamed: 12,오퍼레이터 서명,Unnamed: 14,"정
규",체크리스트,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,"재고/예비
생산수량",수량,중량,바코드,상품명,작업인원,작업시간(분),과수/입수,원산지,바코드,진열기한,,,
,"이마트 야채, 청과 : 9/22 ~ 10/2 센터 출고까지 진열기한 없음.",,,,,,,,,,,,,,,,,,,,,
,롯데마트 : 9/24 ~ 9/30 센터 출고까지 진열기한 없음.,,,,,,,,,,,,,,,,,,,,,
,소형 평벨트에서 작업 진행,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,박스 제함 후 작업 진행,,,,,,,,,,,,,,,,,,,,,
2485084,이마트,N.Z 키위 골드,44과,골드,트레이,44 TR 20,1,2.6,,1170,3077,2500000076862,(S)제스프리 골드키위세트(G),,,,,,,1170.0,6.0,195.0
248201,에브리데이,N.Z 키위 골드,52과,골드,트레이,52 TR 22,1,2.5,,4,10,2500000024726,제스프리 골드키위세트,,,,,,,4.0,6.0,0.6666666666666666
246060,이마트,N.Z 키위 그린,72과,그린,트레이,72 TR 18,1,2.5,,95,238,2500000024733,(S)제스프리 그린키위세트(G),,,,,,,95.0,6.0,15.833333333333334
,,,,,,,,,,,,,,,,,,,,,,
270028,트레이더스,N.Z 키위 그린,72과,그린,트레이,72+41 TR 16,1,4.5,인우 작업,118,529,2500000106712,제스프리 골드&그린키위 세트,,,,,,,118.0,,
24850831,이마트,N.Z 키위 골드,31과,골드,트레이,31 TR 16,1,3,인우 작업,5,15,2507281019397,(S)제스프리키위프리미엄세트,,,,,,,5.0,,
248205,트레이더스,N.Z 키위 골드,41과,골드,트레이,41 TR 32,1,4.5,인우 작업,138,625,2500000167263,제스프리 썬골드키위 세트,,,,,,,138.0,,
2485081,롯데마트,N.Z 키위 골드,48과,골드,트레이,48 TR 24,1,2.9,인우 작업,10,29,8809048477018,제스프리골드키위(세트),,,,,,,10.0,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1) 홈플러스 파지에 집중해서 살펴봐주세요,,,,,,,,,,,,,,,,,,,,,
,2) 홈플러스 외 다른 유통사는 열어보고 파지 없으면 그냥 통과. ,,,,,,,,,,,,,,,,,,,,,
,파지가 있다면 뺀 만큼 채워 넣고 통과. 약간의 소프트 혼입,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2호방 26과 1pt 사용 후 1호방 MX 54과(25) 사용(41과 15입),,,,,,,,,,,,,,,,,,,,,
,마켓컬리 NZ 골드 작업        MX박스 54과(25) 사용해주세요        실중량 1.1KG 넘는지 확인,,,,,,,,,,,,,,,,,,,,,
,"↓ 홈마, 홈슈 필름지 다르니 작업 전 주의 필요!",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"↓CU - KKP 1PT에 96박스 적재. 진열기한 표기 ""생산일자 : 23년 6월 4주차""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,마켓컬리 NZ 골드 작업  실중량 1.1KG 넘는지 확인,,,,,,,,,,,,,,,,,,,,,
,쿠팡 NZ골드 작업 (소박스 바코드 끝 번호 045 상품은 41과 고정)   쿠팡 골드 소박스 작업 진행,,,,,,,,,,,,,,,,,,,,,
,↓ 집에 갈때까지 예비,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,쿠팡 참다래 작업,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,오렌지 작업시 레귤러 우선 사용(레귤러 없을 시 유로 원물 사용),,,,,,,,,,,,,,,,,,,,,
