작업반,작업반.1,4반,오퍼레이터,Unnamed: 4,Unnamed: 5,Unnamed: 6,윤양순 반장님,Unnamed: 8,Unnamed: 9,Unnamed: 10,2023-09-26 00:00:00,Unnamed: 12,오퍼레이터 서명,Unnamed: 14,"정
규",체크리스트,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,"재고/예비
생산수량",수량,중량,바코드,상품명,작업인원,작업시간(분),과수/입수,원산지,바코드,진열기한,,,
,"이마트 야채, 청과 : 9/22 ~ 10/2 센터 출고까지 진열기한 없음.",,,,,,,,,,,,,,,,,,,,,
,롯데마트 : 9/24 ~ 9/30 센터 출고까지 진열기한 없음.,,,,,,,,,,,,,,,,,,,,,
,"그린 대과 알찬 : 55 ~ 93과까지, 소과 알찬 : 104 ~ 132과까지 구분해서 박스 구분 적재해주세요",,,,,,,,,,,,,,,,,,,,,
234514,홈플러스마트,N.Z 키위 그린,119과,그린,팩,119 캡 12,8,1.1,,55,466,8809048476677,제스프리_그린키위_8-14입(팩),,,,,,,440.0,24.0,18.333333333333332
246056,홈플러스슈퍼,N.Z 키위 그린,119과,그린,팩,119 캡 11,4,1,,30,115,8801483775094,제스프리그린키위_7-11입(팩),,,,,,,120.0,24.0,5.0
241923,롯데슈퍼,N.Z 키위 그린,119과,그린,팩,119 팩 10,4,0.9,,45,157,8801483848057,제스프리그린키위7~10입/팩,,,,,,,180.0,24.0,7.5
270062,에브리데이,N.Z 키위 그린,119과,그린,캡,119 캡 10,6,0.9,,25,131,2500000217388,그린키위 (팩),,,,,,,150.0,24.0,6.25
241976,노브랜드,N.Z 키위 그린,104과,그린,팩,104 1+1 4,4,0.8,,84,259,8801483057855,제스프리 그린키위 2팩,,,,,,,336.0,24.0,14.0
241931,노브랜드,N.Z 키위 그린,65과,그린,팩,65 팩 6,6,0.9,,6,33,2000001440438,제스프리 그린키위(팩)jumbo,,,,,,,36.0,24.0,1.5
241854,트레이더스,N.Z 키위 그린,65과,그린,캡,65 캡 16,4,2.5,재고 224,156,1535,2500000282652,뉴질랜드 제스프리 그린키위 2.4kg,,,,,,,624.0,24.0,26.0
246025,이마트,N.Z 키위 그린,93과,그린,캡,93 캡 11,8,1.2,재고 3,119,1123,2500000070013,제스프리그린키위/팩,,,,,,,952.0,24.0,39.666666666666664
242242,롯데마트,N.Z 키위 그린 유기농,85과,그린,캡,유) 85 팩 4,8,0.5,,3,11,430001117825,제스프리유기농그린키위(4-5입/팩),,,,,,,24.0,24.0,1.0
242250,에브리데이,N.Z 키위 그린 유기농,85과,그린,팩,유) 85 팩 4,6,0.5,,7,20,1500000043162,(JN)유기농그린키위(4입/팩),,,,,,,42.0,24.0,1.75
242248,이마트,N.Z 키위 그린 유기농,85과,그린,팩,유) 85 팩 4,10,0.5,,18,85,1500000043162,유기농제스프리그린키위(팩),,,,,,,180.0,24.0,7.5
,쿠팡 NZ그린 캡 작업,,,,,,,,,,,,,,,,,,,,,61.0
,↓ 1. 9호방 소매 44과 벌크로 작업 진행,,,,,,,,,,,,,,,,,,,,,
,↓ 2. 1호방 MX 70과(33) 사용. 5.8KG으로 환산시 52과 입니다,,,,,,,,,,,,,,,,,,,,,
,↓ 3. 1호방 MX 64과(30) 사용. 5.8KG으로 환산시 48과 입니다,,,,,,,,,,,,,,,,,,,,,
,↓ 4. 1호방 MX 59과(27) 사용. 5.8KG으로 환산시 44과 입니다,,,,,,,,,,,,,,,,,,,,,
248104,이마트,N.Z 키위 골드,44과,골드,캡,44 캡 9,8,1.2,재고 47(52과 11입),568,5589,2500000070020,제스프리 썬골드키위/팩,,,,,,,4544.0,28.0,162.28571428571428
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,쿠팡 NZ그린 선물세트 작업,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,쿠팡 NZ골드+그린 선물세트 작업,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,마켓컬리 NZ 골드 작업  실중량 1.1KG 넘는지 확인,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"유통, 쿠팡 그린키위 작업은 2반에서 진행할 예정이니 중간 중간 확인해주세요",,,,,,,,,,,,,,,,,,,,,
,소형 평벨트 또는 대형 평벨트에서 작업 진행,,,,,,,,,,,,,,,,,,,,,
,전복된 그린 키위 선별 진행,,,,,,,,,,,,,,,,,,,,,
