작업반,작업반.1,세척반,오퍼레이터,Unnamed: 4,Unnamed: 5,Unnamed: 6,박영례 반장님,Unnamed: 8,Unnamed: 9,Unnamed: 10,2023-09-26 00:00:00,Unnamed: 12,오퍼레이터 서명,Unnamed: 14,"정
규",체크리스트,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,"재고/예비
생산수량",수량,중량,바코드,상품명,작업인원,작업시간(분),품종,원산지,바코드,진열기한,,,
,"① 여 2명은 잔뿌리, 싹 제거에 집중",,,,,,,,,,,,,,,,,,,,,
,② 모양 구분(둥근형+장방추형 / 긴형) => 파렛트 각각 따로 적재. 인식표에 모양 표기 필요,,,,,,,,,,,,,,,,,,,,,
,세척,일반 고구마(하계),정품,국내산,세척,하계 미선별특 -P,36,20,,,0,,,,,,,,,0.0,17.0,0.0
,세척,일반 고구마(하계),정품,국내산,세척,하계 미선별대 -P,36,20,,,0,,,,,,,,,0.0,17.0,0.0
ㅇ,세척,일반 고구마(하계),정품,국내산,세척,하계 상 - P,36,20,,,0,,,,,,,,,0.0,17.0,0.0
ㅇ,세척,일반 고구마(하계),비품,국내산,세척,하계 중 - P,36,20,,,0,,,,,,,,,0.0,17.0,0.0
ㅇ,세척,일반 고구마(하계),비품,국내산,세척,하계 중3 - P,36,20,,,0,,,,,,,,,0.0,17.0,0.0
ㅇ,세척,호박 고구마(저장),정품,국내산,세척,호박 상 - P,36,20,,,0,,,,,,,,,0.0,17.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,선별장에서 1차 선별 진행 _ 호박 고구마,,,,,,,,,,,,,,,,,,,,,
295877,노브랜드,망고,14과,태국,팩,14 팩 2,4,0.7,,27,77,2087685936631,태국산망고2입(팩),,,,,,,108.0,15.0,7.2
295891,롯데마트,망고,14과,태국,팩,14 팩 2,4,0.7,,21,60,400388600005,태국망고(2입/팩),,,,,,,84.0,15.0,5.6
295851,롯데슈퍼,망고,14과,태국,벌크,14과 벌크,1,5,,8,40,2522810000004,태국산골드망고14과/개,,,,,,,8.0,15.0,0.5333333333333333
295878,에브리데이,망고,14과,태국,팩,16 팩 2,4,0.6,,13,33,8801483541002,망고2입/팩,,,,,,,52.0,15.0,3.466666666666667
295897,엠패스트,망고,14과,태국,팩,14 팩 2,4,0.7,,4,11,8801483775179,태국 남독마이망고팩 _태국산,,,,,,,16.0,15.0,1.0666666666666667
295877,이마트,망고,14과,태국,팩,14 팩 2,8,0.7,,53,301,2500000108563,태국산망고2입/팩,,,,,,,424.0,15.0,28.266666666666666
295875,트레이더스,망고,14과,태국,팩,14 팩 4,6,1.4,,17,146,2500000086755,태국산 망고 4입/팩,,,,,,,102.0,15.0,6.8
295863,롯데슈퍼,망고,16과,태국,팩,16 팩 2,4,0.6,,7,18,400350980005,태국산망고2입/팩,,,,,,,28.0,15.0,1.8666666666666667
295887,홈플러스마트,망고,16과,태국,팩,16 팩 2,4,0.6,,9,23,8809226300763,항공직송_남독마이망고(태국)_2입(팩),,,,,,,36.0,15.0,2.4
295196,이마트,망고,24과,필리핀,팩,20 팩 3,6,0.8,,42,189,2500000286773,필리핀 망고 3입/팩,,,,,,,252.0,15.0,16.8
295194,홈플러스슈퍼,망고,24과,필리핀,팩,24 팩 3,4,0.6,,7,17,8801483221508,필리핀망고_3입(팩),,,,,,,28.0,15.0,1.8666666666666667
295914,트레이더스,망고,7과,브라질,팩,7 팩 2,6,1.1,,12,82,2500000264849,브라질 애플망고 2입/팩,,,,,,,72.0,15.0,4.8
295909,노브랜드,망고,9과,브라질,팩,8 팩 2,4,1,,37,148,2000000759050,브라질 애플망고(2입),,,,,,,148.0,15.0,9.866666666666667
295918,롯데마트,망고,9과,브라질,팩,9 팩 2,4,0.9,,38,135,430000679003,브라질애플망고(2입/팩),,,,,,,152.0,15.0,10.133333333333333
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"1차 선별 진행 , 시장에서 사입 수량에 따른 세척 진행할수도 있습니다",,,,,,,,,,,,,,,,,,,,,300.0
,1차 선별 종료 후 여 1명 1반으로 보내주세요,,,,,,,,,,,,,,,,,,,,,300.0
ㅇ,세척,일반 고구마(하계),정품,국내산,세척,하계 중 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(하계),정품,국내산,세척,하계 특1 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),정품,국내산,세척,호박 상 - P,36,20,,,0,,,,,,,,,,16.0,0.0
ㅇ,세척,호박 고구마(저장),정품,국내산,세척,호박 특1 - P,36,20,,,0,"280g 이상을 ""이마트용"", 280g 이하를 ""홈플용"" 구분 표기해주세요",,,,,,,,,16.0,0.0
ㅇ,세척,호박 고구마(저장),정품,국내산,세척,호박 상 - P,36,20,,,0,"80g 이상을 ""상"", 80g 이하를 ""잔상""으로 구분 표기해주세요",,,,,,,,,16.0,0.0
ㅇ,세척,일반 고구마(저장),대품,국내산,세척,하루까 대2 - P,36,20,,,0,,,,,,,,,,16.0,0.0
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 중3 - P,36,20,,,0,,,,,,,,,,16.0,0.0
ㅇ,세척,일반 고구마(저장),정품,국내산,세척,하루까 상 - P,36,20,,,0,,,,,,,,,,16.0,0.0
ㅇ,세척,호박 고구마(저장),정품,국내산,세척,호박 중 - P,36,20,,,0,,,,,,,,,,16.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),정품,국내산,세척,하루까 중3 - P,36,20,,,0,,,,,,,,,,,170.0
,,,,,,,,,,,,,,,,,,,,,,
ㅇ,세척,일반 고구마(하계),비품,국내산,세척,하계 중2 - P,36,20,진율미,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 중3 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 중3 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,호박 비1 - P,36,20,,,0,"모양 구분이 아닌 지름으로만 구분 :  얇은 비1, 굵은 비1",,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 비2 - P,36,20,,,0,"*특비품(대비) 280g, 특비품 180~280g, 상비품 130~180g
 택배불가 상비품 100 ~ 130g, 중비품, 벌크",,,,,,,,,,
,└→ 호박 세척 종료되면 1반 여 1명 이동,,,,,,,,,,,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 중3 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 중 - 2P,36,20,전량,,0,"중량 83이상이면 상, 83이하면 중2",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),정품,국내산,세척,호박 미선별 특 - P,36,20,,,0,홈플러스 창립 : 80 ~ 320g,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 비2 - P,36,20,택배양에 따른 변경 있음,,0,"*특비품(대비) 280g, 특비품 180~280g, 상비품 130~180g
 택배불가 상비품 100 ~ 130g, 중비품, 벌크",,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 비2 - 20P,36,20,택배양에 따른 변경 있음,,0,"*특비품(대비) 280g, 특비품 180~280g, 상비품 130~180g
 택배불가 상비품 100 ~ 130g, 중비품, 벌크",,,,,,,,,,
,도매,일반 고구마(저장),대1,국내산,벌크,하루까 대1 벌크 10kg(정품),1,10,효성청과,,0,"1. 토마루박스
2. 나무파레트
3. 중량기준 300 ~ 500g
4. 긴대, 둥근대 숫자 알려주세요
5. 가지런하게 작업",,,,,,,,,,
,도매,일반 고구마(저장),대1,국내산,벌크,하루까 대1 벌크 10kg(정품),1,10,동부청과,,0,"1. 토마루박스
2. 나무파레트
3. 중량기준 300 ~ 500g
4. 긴대, 둥근대 숫자 알려주세요
5. 가지런하게 작업",,,,,,,,,,
,도매,일반 고구마(저장),상,국내산,벌크,하루까 상 벌크 10kg(정품),1,10,"""둥근 상""만 작업
""긴 상""은 유통에 사용",40,400,"1. 토마루박스
2. 나무파레트
3. 중량기준 100 ~ 230g",출고지 : 효성청과,,,,,,,,,
,도매,일반 고구마(저장),상,국내산,벌크,하루까 상 벌크 10kg(정품),1,10,"""둥근 상""만 작업
""긴 상""은 유통에 사용",40,400,"1. 토마루박스
2. 나무파레트
3. 중량기준 100 ~ 230g",출고지 : 동부청과,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 비2 - P,36,20,,,0,*정품 / 택배용 비품 구분,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 비2 - P,36,20,,,0,*정품 / 택배용 비품 구분,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),정품,국내산,세척,"하루까 특 - P
  상 - P",36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),정품,국내산,세척,호박 상 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,호박 대2 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 비2 - P,36,20,,,0,*유통에 사용 가능한 비품 / 도매용 비품 / 중비품 구분 필요,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,호박 대2 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 비2 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 비2 - P,36,20,,,0,*유통에 사용가능한 비품 / 도매용 비품 / 중비품 구분 필요,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,호박 대2 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),정품,국내산,세척,하루까 상 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 중3 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 중3 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 비1 - P,36,20,,,0,"모양 구분이 아닌 지름으로만 구분 :  얇은 비1, 굵은 비1",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,▶상품 내 품종 혼입되지 않도록 주의!(카라유타카 ≠ 진율미),,,,,,,,,,,,,,,,,,,,,
,청원으로 특(230~300g) 5PT(36CT씩 적재) 작업 후 본 중량 범위로 복귀,,,,,,,,,,,,,,,,,,,,,
ㅇ,세척,일반 고구마(하계),정품,국내산,세척,하계 무등급 - 4P,30,20,,,0,,,,,,,,,17.0,,0.0
ㅇ,세척,일반 고구마(하계),정품,국내산,세척,하계 상 - P,30,20,,,0,,,,,,,,,17.0,,0.0
ㅇ,세척,일반 고구마(하계),대품,국내산,세척,하계 대 - P,30,20,,,0,,,,,,,,,17.0,,0.0
