작업반,작업반.1,4반,오퍼레이터,Unnamed: 4,Unnamed: 5,Unnamed: 6,윤양순 반장님,Unnamed: 8,Unnamed: 9,Unnamed: 10,2023-09-26 00:00:00,Unnamed: 12,오퍼레이터 서명,Unnamed: 14,"정
규",체크리스트,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
234514,홈플러스마트,N.Z 키위 그린,119과,그린,팩,119 캡 12,8,1.1,,55,466,8809048476677,제스프리_그린키위_8-14입(팩),,,,,,,440.0,24.0,18.33333333333333
246056,홈플러스슈퍼,N.Z 키위 그린,119과,그린,팩,119 캡 11,4,1,,30,115,8801483775094,제스프리그린키위_7-11입(팩),,,,,,,120.0,24.0,5.0
241923,롯데슈퍼,N.Z 키위 그린,119과,그린,팩,119 팩 10,4,0.9,,45,157,8801483848057,제스프리그린키위7~10입/팩,,,,,,,180.0,24.0,7.5
270062,에브리데이,N.Z 키위 그린,119과,그린,캡,119 캡 10,6,0.9,,25,131,2500000217388,그린키위 (팩),,,,,,,150.0,24.0,6.25
241976,노브랜드,N.Z 키위 그린,104과,그린,팩,104 1+1 4,4,0.8,,84,259,8801483057855,제스프리 그린키위 2팩,,,,,,,336.0,24.0,14.0
241931,노브랜드,N.Z 키위 그린,65과,그린,팩,65 팩 6,6,0.9,,6,33,2000001440438,제스프리 그린키위(팩)jumbo,,,,,,,36.0,24.0,1.5
241854,트레이더스,N.Z 키위 그린,65과,그린,캡,65 캡 16,4,2.5,재고 224,156,1535,2500000282652,뉴질랜드 제스프리 그린키위 2.4kg,,,,,,,624.0,24.0,26.0
246025,이마트,N.Z 키위 그린,93과,그린,캡,93 캡 11,8,1.2,재고 3,119,1123,2500000070013,제스프리그린키위/팩,,,,,,,952.0,24.0,39.66666666666666
242242,롯데마트,N.Z 키위 그린 유기농,85과,그린,캡,유) 85 팩 4,8,0.5,,3,11,430001117825,제스프리유기농그린키위(4-5입/팩),,,,,,,24.0,24.0,1.0
242250,에브리데이,N.Z 키위 그린 유기농,85과,그린,팩,유) 85 팩 4,6,0.5,,7,20,1500000043162,(JN)유기농그린키위(4입/팩),,,,,,,42.0,24.0,1.75
242248,이마트,N.Z 키위 그린 유기농,85과,그린,팩,유) 85 팩 4,10,0.5,,18,85,1500000043162,유기농제스프리그린키위(팩),,,,,,,180.0,24.0,7.5
248104,이마트,N.Z 키위 골드,44과,골드,캡,44 캡 9,8,1.2,재고 47(52과 11입),568,5589,2500000070020,제스프리 썬골드키위/팩,,,,,,,4544.0,28.0,162.28571428571428
