작업반,작업반.1,5반,오퍼레이터,Unnamed: 4,Unnamed: 5,Unnamed: 6,조경희 반장님,Unnamed: 8,Unnamed: 9,Unnamed: 10,2023-09-26 00:00:00,Unnamed: 12,오퍼레이터 서명,Unnamed: 14,"정
규",체크리스트,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
277011,엠패스트,레몬,115과,칠레,벌크,115 벌크,1,17,약선별,3,51,5010530,레몬115_칠레,,,,,,,3.0,1.0,3.0
277096,트레이더스,레몬,115과,칠레,봉지,115 봉 15,6,2.2,예비 235,122,1603,2500000191077,칠레산 레몬 2.1kg/봉,,,,,,,732.0,8.0,91.5
277116,롯데슈퍼,레몬,140과,칠레,봉지,140 봉 2,6,0.2,,6,9,8801483219215,칠레산레몬2입/봉,,,,,,,36.0,8.0,4.5
297249,트레이더스,아보카도,24과,뉴질랜드,봉지,24 봉 8,6,1.8,예비 108,92,1010,2500000298707,뉴질랜드산 아보카도 7-9입,,,,,,,552.0,8.0,69.0
272674,트레이더스,오렌지,72과,호주,봉지,72 봉지 13,3,3.2,재고 92,232,2234,2500000026485,호주산 오렌지 3kg(봉),,,,,,,696.0,8.0,87.0
2485087,노브랜드,N.Z 키위 골드,52과,골드,캡,52 소박스 14,1,1.7,스푼 X,439,742,8809048477087,제스프리 골드키위 14입 (박스),,,,,,,439.0,9.0,48.77777777777778
2485006,롯데마트,N.Z 키위 골드,52과,골드,소박스,52 소박스 14,1,1.6,"소박스 안에 친환경 스푼 추가
골드 원물 박스에 담고, 손잡이 넣기",160,250,8809048477087,한판제스프리골드키위,,,,,,,160.0,9.0,17.77777777777778
2485007,롯데슈퍼,N.Z 키위 골드,52과,골드,소박스,52 소박스 14,1,1.6,,133,207,8809048477087,한판제스프리골드키위/박스,,,,,,,133.0,9.0,14.77777777777778
279045,롯데마트,라임,200과,멕시코,팩,200 팩 3,6,0.3,,20,31,8801483021351,멕시코라임3입/팩,,,,,,,120.0,15.0,8.0
279045,롯데슈퍼,라임,200과,멕시코,팩,200 팩 3,4,0.3,,4,4,8801483021351,멕시코산라임3입/팩,,,,,,,16.0,15.0,1.0666666666666669
279045,에브리데이,라임,200과,멕시코,팩,200 팩 3,4,0.3,,11,11,2500000091933,라임(3입/팩),,,,,,,44.0,15.0,2.933333333333333
279045,홈플러스슈퍼,라임,200과,멕시코,팩,200 팩 3,3,0.3,,6,5,8801483021351,상큼한라임(멕시코산)_3입(팩),,,,,,,18.0,15.0,1.2
279160,트레이더스,라임,200과,멕시코,봉지,200 봉 12,8,1.1,,19,160,2500000261244,멕시코산 라임 1kg(봉),,,,,,,152.0,15.0,10.133333333333333
279192,롯데마트,라임,200과,멕시코,소벌크,200 소벌크 30,1,2.7,,13,35,2609960000006,멕시코라임(벌크),,,,,,,13.0,15.0,0.8666666666666667
