작업반,작업반.1,세척반,오퍼레이터,Unnamed: 4,Unnamed: 5,Unnamed: 6,박영례 반장님,Unnamed: 8,Unnamed: 9,Unnamed: 10,2023-09-26 00:00:00,Unnamed: 12,오퍼레이터 서명,Unnamed: 14,"정
규",체크리스트,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
295877,노브랜드,망고,14과,태국,팩,14 팩 2,4,0.7,,27,77,2087685936631,태국산망고2입(팩),,,,,,,108.0,15.0,7.2
295891,롯데마트,망고,14과,태국,팩,14 팩 2,4,0.7,,21,60,400388600005,태국망고(2입/팩),,,,,,,84.0,15.0,5.6
295851,롯데슈퍼,망고,14과,태국,벌크,14과 벌크,1,5,,8,40,2522810000004,태국산골드망고14과/개,,,,,,,8.0,15.0,0.5333333333333333
295878,에브리데이,망고,14과,태국,팩,16 팩 2,4,0.6,,13,33,8801483541002,망고2입/팩,,,,,,,52.0,15.0,3.466666666666667
295897,엠패스트,망고,14과,태국,팩,14 팩 2,4,0.7,,4,11,8801483775179,태국 남독마이망고팩 _태국산,,,,,,,16.0,15.0,1.0666666666666669
295877,이마트,망고,14과,태국,팩,14 팩 2,8,0.7,,53,301,2500000108563,태국산망고2입/팩,,,,,,,424.0,15.0,28.266666666666666
295875,트레이더스,망고,14과,태국,팩,14 팩 4,6,1.4,,17,146,2500000086755,태국산 망고 4입/팩,,,,,,,102.0,15.0,6.8
295863,롯데슈퍼,망고,16과,태국,팩,16 팩 2,4,0.6,,7,18,400350980005,태국산망고2입/팩,,,,,,,28.0,15.0,1.8666666666666667
295887,홈플러스마트,망고,16과,태국,팩,16 팩 2,4,0.6,,9,23,8809226300763,항공직송_남독마이망고(태국)_2입(팩),,,,,,,36.0,15.0,2.4
295196,이마트,망고,24과,필리핀,팩,20 팩 3,6,0.8,,42,189,2500000286773,필리핀 망고 3입/팩,,,,,,,252.0,15.0,16.8
295194,홈플러스슈퍼,망고,24과,필리핀,팩,24 팩 3,4,0.6,,7,17,8801483221508,필리핀망고_3입(팩),,,,,,,28.0,15.0,1.8666666666666667
295914,트레이더스,망고,7과,브라질,팩,7 팩 2,6,1.1,,12,82,2500000264849,브라질 애플망고 2입/팩,,,,,,,72.0,15.0,4.8
295909,노브랜드,망고,9과,브라질,팩,8 팩 2,4,1,,37,148,2000000759050,브라질 애플망고(2입),,,,,,,148.0,15.0,9.866666666666667
295918,롯데마트,망고,9과,브라질,팩,9 팩 2,4,0.9,,38,135,430000679003,브라질애플망고(2입/팩),,,,,,,152.0,15.0,10.133333333333333
